						
						
						
WinLoc	SILID	Nominal Unicode Mapping	Other possible CP1252 locations	Mapping Comments	Nominal Non-spacing Mappings	Non-spacing Mapping Comments
P033	0002	00B7	95	Possible mappings include U+00B7 and U+2022		
P034	0003	00B7	95	Possible mappings include U+00B7 and U+2022		
P035	0004	25CF	"95,B7"	"Possible mappings include U+00B7, U+2022 and U+25CF. Unicode 3.2 adds U+2981."		
P036	0005	25CF	"95,B7"	"Possible mappings include U+00B7, U+2022 and U+25CF. Unicode 3.2 adds U+2981."		
P037	0006	25EF			20DD	
P241	0007	002E		"See also U+2024, U+2025 and U+2026."	0323	See also U+0307.
P044	0008	25AA		Unicode 3.2 adds two more sizes of black squares at U+25FC and U+25FE.		
P045	0009	25A0		See also U+220E. Unicode 3.2 adds two more sizes of black squares at U+25FC and U+25FE.		
P046	0011	25AB		Unicode 3.2 adds two more sizes of white square at U+25FB and U+25FD. Encore glyph SILID 0012 might also be used for non-defined characters.		
P047	0012	25A1		See also U+2610. Unicode 3.2 adds two more sizes of white square at U+25FB and U+25FD. Encore glyph SILID 0012 might also be used for non-defined characters.	20DE	
P246	0013	25A1		See also U+2610. Unicode 3.2 adds two more sizes of white square at U+25FB and U+25FD. Encore glyph SILID 0013 might also be used for non-defined characters.	20DE	
P245	0014	2611				
P048	0015	25C6		See also U+2666. Unicode 3.2 adds black lozenge at U+29EB		
P051	0017	25CA		See also U+22C4 and U+2662.		
P049	0018	25C7		See also U+22C4 and U+2662.	20DF	
P053	0021	2605		See also U+22C6.		
P054	0024	2606		See also U+2729.		
P055	0025	25B6		See also U+25B8 and U+25BA.		
P056	0026	25C0		See also U+25C2 and U+25C4		
P057	0027	25BC		See also U+25BE		
P058	0028	25B2		See also U+25B4		
P061	0029	27A7				
P062	0030	PUA				
P064	0031	PUA				
P063	0032	PUA				
P240	0033	00B2				
P143	0037	002B		"See also U+02D6, U+207A and U+208A."	031F	Other non-spacing uses of Encore glyph SILID 0037 should be mapped to PUA characters.
P147	0038	00B1				
P145	0039	002D	"96,97,AD"	"Encore glyph SILID 0039 is most likely to be used for U+002D or U+2212. The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent.Possibilities include: hyphen-minus U+002D, soft hyphen U+00AD, modifier letter low macron U+02C9, modifier letter minus sign U+02D7, hyphen U+2010, non-breaking hyphen U+2011, figure dash U+2012, en dash U+2013, em dash U+2014, horizontal bar U+2015, overline U+203E, hyphen bullet U+2043, superscript minus U+207B, subscript minus U+208B and minus sign U+2212."	0335	"See U+0335 and U+0336. Combinations that use a combining overlay (U+0334..U+0338, U+20E5) should probably be handled as a single, non-decomposed character, and we should probably try to get that character into Unicode before we consider encoding it using the combining overlay characters."
P150	0040	00D7		"See also U+2613, U+2715 and U+2573."		
P151	0041	00F7				
P153	0042	003D		See also U+207C and U+208C.	033F	See also U+0333 and U+0347.
P163	0043	003C	8B	"Possible mappings include U+003C, U+02C2, U+2039, U+2329 and U+3008."		
P165	0044	003E	9B	"Possible mappings include U+003E, U+02C3, U+203A, U+232A and U+3009."		
P168	0045	2264				
P169	0046	2265				
P242	0047	2320				
P243	0048	2321				
P158	0049	221E				
P152	0050	221A				
P156	0051	007E	98	"Possible mappings include U+007E, U+02DC and U+223C."	0334	"See U+0303 and U+0334. Combinations that use a combining overlay (U+0334..U+0338, U+20E5) should probably be handled as a single, non-decomposed character, and we should probably try to get that character into Unicode before we consider encoding it using the combining overlay characters."
P071	0052	2192				
P072	0053	2190				
P074	0054	2191				
P073	0055	2193				
P075	0056	2196				
P076	0057	2198				
P077	0058	2197				
P078	0059	2199				
P079	0060	2195				
P081	0061	2194				
P101	0062	2713				
P102	0063	2714				
P248	0064	PUA		Encore glyph SILID 0064 could perhaps be mapped to U+2328.		
P249	0065	PUA				
P250	0066	PUA				
P251	0067	PUA		Encore glyph SILID 0067 could perhaps be mapped to U+1F4E2.		
P252	0068	PUA				
P088	0069	261E				
P089	0070	261C				
P090	0071	261B				
P091	0072	261A				
P247	0073	PUA		See also U+20A7		
P244	0074	2229		See also U+22C2.		
P159	0075	2228		See also U+22C1.		
P161	0076	02C4	"5E,88"	"Possible mappings include U+005E, U+02C4, U+02C6, U+2227, U+22C0 and U+2303."	0302	
P083	0077	21D0				
P082	0078	21D2				
P085	0079	21D1				
P084	0080	21D3				
P086	0081	21D5				
P087	0082	21D4				
P170	0083	222B		See also U+0283.		
P171	0084	2295				
P172	0085	2297				
P154	0086	2260				
P157	0087	2248			034C	
P173	0088	2225		See also U+01C1 and U+2016.		
P190	0089	222A		See also U+22C3.		
P191	0090	2229		See also U+22C2.		
P192	0091	2282				
P193	0092	2283				
P194	0093	2282		Encore glyph SILID 0093 it not the best choice for U+2282. It may be used in a composite glyph for U+2286 etc.		
P195	0094	2283		Encore glyph SILID 0094 is not the best choice for U+2283. It may be used in a composite glyph for U+2287 etc.		
P149	0095	2213				
P148	0096	00B1				
P080	0097	21A8				
P174	0098	23B0		New in Unicode 3.2. 		
P175	0099	23B1		New in Unicode 3.2. 		
P176	0100	23A7		New in Unicode 3.2. Unicode 3.2 adds left parenthesis upper hook at U+239B.		
P177	0101	23A8		New in Unicode 3.2. 		
P178	0102	23A9		New in Unicode 3.2. Unicode 3.2 adds left parenthesis lower hook at U+239D.		
P179	0103	23AA	7C	"Possible mappings include U+007C, U+01C0 and U+2223.Unicode 3.2 adds left parenthesis extension at U+239C, right parenthesis extension at U+239F, left square bracket extension at U+23A2, right square bracket extension at U+23A5, and curley bracket extension at U+23AA."		
P180	0104	23AB		New in Unicode 3.2. Unicode 3.2 adds right parenthesis upper hook at U+239E.		
P181	0105	23AC		New in Unicode 3.2. 		
P182	0106	23AD		New in Unicode 3.2. Unicode 3.2 adds right parenthesis lower hook at U+23A0.		
P183	0107	PUA				
P184	0108	PUA				
P185	0109	PUA				
P186	0110	PUA		See also U+2014 and U+2015.		
